id,name,email,aadhar_number,language_proficiency_certificates,education_certificates,profile_rating,created_at,lang_name,lang_pro,Subjects
415,Richard Padriguez,youngjacob@example.org,118348602535,‘Fluent',"b""Bachelor's Degree""",3.39,2024-10-26 09:28:10,Hindi,Advance,"['IELTS', 'Environmental Science', 'LSAT', 'Accountancy', 'Computer Science']"
416,Pandy Cameron,mary81@example.com,429768400426,‘Fluent',"b""Bachelor's Degree""",1.18,2024-10-26 09:28:10,French,Fluent,"['ICSE', 'Environmental Science', 'DUET', 'SAT', 'English']"
417,Barbara Webb,johntapia@example.net,940237571794,‘Fluent',"b""Bachelor's Degree""",2.23,2024-10-26 09:28:10,Spanish,Intermediate,"['GMAT', 'Economics', 'SSC', 'GATE', 'BITSAT']"
418,Amanda Olson,nicole04@example.com,75945621512,‘Fluent',"b""Bachelor's Degree""",4.24,2024-10-26 09:28:10,English,Basic,"['CBSE', 'UPSC', 'ICSE', 'GRE', 'IELTS']"
419,Kelly Brown,markhuynh@example.com,899478965190,‘Fluent',"b""Bachelor's Degree""",1.05,2024-10-26 09:28:10,Hindi,Advance,"['Mathematics', 'CLAT', 'JEE', 'GATE', 'Physics']"
420,Victoria Lawrence,ljohnson@example.net,16862369294,‘Fluent',"b""Bachelor's Degree""",4.75,2024-10-26 09:28:10,French,Fluent,"['CLAT', 'NDA', 'SSC', 'Economics', 'CBSE']"
421,Timothy Kemp,abates@example.net,514801025295,‘Fluent',"b""Bachelor's Degree""",3.3,2024-10-26 09:28:10,Spanish,Intermediate,"['Mathematics', 'CLAT', ‘CBSE', 'GATE', 'Physics']"
422,Linda Allen,paulsantiago@example.com,884088992523,‘Fluent',"b""Bachelor's Degree""",4.93,2024-10-26 09:28:10,English,Basic,"['Political Science', 'ACT', 'GRE', 'Biology', 'SAT']"
423,kyle Martinez,holly48@example.net,258711277651,‘Fluent',"b""Bachelor's Degree""",3.93,2024-10-26 09:28:10,Hindi,Advance,"['Accountancy', 'JEE', 'Economics', 'Psychology', 'Geography']"
424,Christopher Harris,langlawrence@example.com,274171668063,‘Fluent',"b""Bachelor's Degree""",1.3,2024-10-26 09:28:10,French,Fluent,"['NDA', 'English', 'AIIMS', 'GATE', 'Physics']"
425,Ashley Swanson,andreashepherd@example.com,947497384496,‘Fluent',"b""Bachelor's Degree""",3.88,2024-10-26 09:28:10,Spanish,Intermediate,"['DUET', 'Biology', 'TOEFL', 'JEE', 'Economics']"
426,Angela Fox,dixontheresa@example.org,155672164509,‘Fluent',"b""Bachelor's Degree""",3.64,2024-10-26 09:28:10,English,Basic,"['CBSE', 'GRE', 'NDA', 'GATE', 'Business Studies']"
427,deshua Smith,hortonjessica@example.org,807685556250,‘Fluent',"b""Bachelor's Degree""",1.77,2024-10-26 09:28:10,Hindi,Advance,"['LSAT', 'SAT', 'NIFT', 'JEE', 'Economics']"
428,Tony Weber,crawfordjohn@example.com,955151570559,‘Fluent',"b""Bachelor's Degree""",2.88,2024-10-26 09:28:10,French,Fluent,"['IELTS', 'JIPMER', 'Accountancy', 'LSAT', 'Geography']"
429,Lauren Long,isaacwilliams@example.com,619494270894,‘Fluent',"b""Bachelor's Degree""",2.75,2024-10-26 09:28:10,Spanish,Intermediate,"['NDA', 'Sociology', 'ICSE', 'CLAT', 'Computer Science']"
430,Rick Fernandez,wilsontaylor@example.com,437244820883,‘Fluent',"b""Bachelor's Degree""",2.09,2024-10-26 09:28:10,English,Basic,"['Sociology', 'TOEFL', 'Geography', 'SAT', 'CAT']"
431,Mr Lance,smithlance@example.net,570281492303,‘Fluent',"b""Bachelor's Degree""",3.08,2024-10-26 09:28:10,Hindi,Advance,"['JIPMER', 'Chemistry', 'Business Studies', 'History', 'TOEFL']"
432,Tyler Moran,holtjennifer@example.com,950416428991,‘Fluent',"b""Bachelor's Degree""",1.21,2024-10-26 09:28:10,French,Advance,"['TOEFL', 'MAT', 'ACT', 'GATE', 'Computer Science']"
433,James Mendez,banderson@example.org,916678912884,‘Fluent',"b""Bachelor's Degree""",3.7,2024-10-26 09:28:10,Spanish,Fluent,"['NIFT', 'IELTS', 'Economics', 'Mathematics', 'LSAT']"
434,Billy Thomas,evanslindsay@example.org,51532379989,‘Fluent',"b""Bachelor's Degree""",4.82,2024-10-26 09:28:10,English,Intermediate,"['ACT', 'CLAT', 'Environmental Science', 'LSAT', 'SSC']"
435,Catherine King,xfisher@example.net,184429216738,‘Fluent',"b""Bachelor's Degree""",2.37,2024-10-26 09:28:10,Hindi,Basic,"['NEET', 'Mathematics', 'Environmental Science', 'LSAT', 'CBSE']"
436,"DavidGlenn
",xharris@example.com,122084903150,‘Fluent',"b""Bachelor's Degree""",1.96,2024-10-26 09:28:10,French,Advance,"['GATE', 'UPSC', 'Political Science', 'IELTS', 'Geography']"
437,Sandra Montgomery,sdavis@example.com,429996170390,‘Fluent',"b""Bachelor's Degree""",4.77,2024-10-26 09:28:10,Spanish,Fluent,"['Accountancy', 'Political Science', 'SAT', 'AIIMS', 'English']"
438,Justin Montgomery,myersamanda@example.com,179625775339,‘Fluent',"b""Bachelor's Degree""",3.19,2024-10-26 09:28:10,English,Intermediate,"['Chemistry', 'GMAT', 'NDA', 'DUET', 'JIPMER']"
439,Michael Martinez,ctran@example.net,328124023269,‘Fluent',"b""Bachelor's Degree""",2.66,2024-10-26 09:28:10,Hindi,Basic,"['MAT', 'Economics', 'SAT', 'CLAT', 'GMAT']"
440,N/A,armstrongscott@example.com,222882214686,‘Fluent',"b""Bachelor's Degree""",2.21,2024-10-26 09:28:10,French,Advance,"['IELTS', 'Computer Science', 'ACT', 'JIPMER', 'Business Studies']"
441,Karl Sweeney,wilsonjames@example.net,342907790776,‘Fluent',"b""Bachelor's Degree""",2.09,2024-10-26 09:28:10,Spanish,Fluent,"['CUET', 'GRE', 'NIFT', 'UPSC', 'Mathematics']"
442,Christopher Anderson,dwilliams@example.com,241047068978,‘Fluent',"b""Bachelor's Degree""",4.32,2024-10-26 09:28:10,English,Intermediate,"['Economics', 'CBSE', 'Mathematics', 'GATE', 'AIIMS']"
443,Craig Stevens,scotthensley@example.com,94188463137,‘Fluent',"b""Bachelor's Degree""",4.59,2024-10-26 09:28:10,Hindi,Basic,"['Biology', 'IBPS', 'GMAT', 'NEET', 'Political Science']"
444,Samantha Myers,qhunter@example.org,547451219952,‘Fluent',"b""Bachelor's Degree""",1.58,2024-10-26 09:28:10,French,Advance,"['GRE', 'Mathematics', 'Business Studies', 'IELTS', 'Psychology']"
445,Donna Cole,rhondarichardson@example.net,345128381106,‘Fluent',"b""Bachelor's Degree""",4.67,2024-10-26 09:28:10,Spanish,Fluent,"['GMAT', 'Economics', 'CBSE', 'AIIMS', 'JIPMER']"
446,Kelly Stanton,ggreen@example.net,157801491811,‘Fluent',"b""Bachelor's Degree""",4.86,2024-10-26 09:28:10,English,Intermediate,"['DUET', 'Psychology', 'Computer Science', 'Economics', 'GMAT']"
447,Steven Cox,ncarr@example.com,488450671267,‘Fluent',"b""Bachelor's Degree""",2.34,2024-10-26 09:28:10,Hindi,Basic,"['Mathematics', 'CAT', 'JEE', 'Geography', 'UPSC']"
